Income or Expence,Category,Budget category,Committee + Income Detail,Source of Funds,Line Items,2023 Asking Budget,2/14/23 Draft Budget,2023 Budget,"Comments (format: date, name, optional why; date, name, optional why)",Position,Base Salary or Other,size,Recurring or 1-time Expense,0,
Expense,Worship,Worship & Arts,Worship,Undesignated,6078 Audio Sound /Video Streeming expenses,,"-$13,000","-$13,000",,Not a position,,Large church,Recurring,19,
Expense,Worship,Worship & Arts,Worship,Tercentenary Fund,6079 Miscast Cabaret (new),,"-$3,000","-$3,000",,Not a position,,Large church,Recurring,19,
Expense,Worship,Worship & Arts,Worship,Tercentenary Fund,6080 Art Series (new),,"-$1,500","-$1,500",,Not a position,,Large church,Recurring,19,
Expense,Worship,Worship & Arts,Worship,Undesignated,6081 Art Display Expence (new),,-$200,-$200,,Not a position,,Small Church,Recurring,19,
Expense,Worship,Worship & Arts,Worship,Undesignated,"6082 Candle,Oil,Wreth Exp. (new)",,"-$1,300","-$1,300",,Not a position,,Small Church,Recurring,19,
Expense,Worship,Worship & Arts,Worship,Undesignated,6083 Vesting for Sanctuary(new),,"-$2,000","-$2,000",,Not a position,,Small Church,Recurring,19,
Expense,Worship,Worship & Arts,Worship,Cook Trust,6084 Chancel Guild expenses/Cook Trust,,$0,-$910,3/2023 Oksana: same as Cook Trust note above,Not a position,,Small Church,Recurring,19,
Income,Xbudget,Xbudget,Xbudget,Xbudget,4031 Special Offerings (designated),,,$0,,,,,In 2022 but not 2023,20,
Income,Xbudget,Xbudget,Xbudget,Xbudget,4032 Designated Restricted Contributions,,,$0,,,,,In 2022 but not 2023,20,
Income,Xbudget,Xbudget,Xbudget,Xbudget,4701 Make Room Misc Income,,,$0,,,,,In 2022 but not 2023,20,
Income,Xbudget,Xbudget,Xbudget,Xbudget,4800 Temp Restricted Designated Income,,,$0,,,,,In 2022 but not 2023,20,
Income,Xbudget,Xbudget,Xbudget,Xbudget,4805 Bookshop,,,$0,,,,,In 2022 but not 2023,20,
Income,Xbudget,Xbudget,Xbudget,Xbudget,4806 Desiganted Funds Income,,,$0,,,,,In 2022 but not 2023,20,
Income,Xbudget,Xbudget,Xbudget,Xbudget,4815 UPC Mission offset,,,$0,,,,,In 2022 but not 2023,20,
Income,Xbudget,Xbudget,Xbudget,Xbudget,4906 Covenant Receipts,,,$0,,,,,In 2022 but not 2023,20,
Expense,Xbudget,Xbudget,Xbudget,Xbudget,8708 General Contractor,,,$0,,,,,In 2022 but not 2023,20,
Expense,Xbudget,Xbudget,Xbudget,Xbudget,8805 Bookshop,,,$0,,,,,In 2022 but not 2023,20,
Expense,Xbudget,Xbudget,Xbudget,Xbudget,8806 Designated Funds Expense,,,$0,,,,,In 2022 but not 2023,20,
Expense,Xbudget,Xbudget,Xbudget,Xbudget,8808 Special Offering Expense,,,$0,,,,,In 2022 but not 2023,20,
Expense,Xbudget,Xbudget,Xbudget,Xbudget,8836 UPC Mission Fund,,,$0,,,,,In 2022 but not 2023,20,
Expense,Xbudget,Xbudget,Xbudget,Xbudget,8905 Endowment Disbursement,,,$0,,,,,In 2022 but not 2023,20,
Expense,Xbudget,Xbudget,Xbudget,Xbudget,8906 Covenant Disbursement,,,$0,,,,,In 2022 but not 2023,20,
Expense,Xbudget,Xbudget,Xbudget,Xbudget,8908 Fidelity UPC Mission Fund,,,$0,,,,,In 2022 but not 2023,20,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6105 Audio/Visual Church School,,-$200,,3/2023: Oksana: Changes from Youth Ed for 10% reduction,Not a position,,Large church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6110 Confirmation/Communion,,-$200,-$200,,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6115 Curriculum Church School,,-$400,-$250,3/2023: Oksana: Changes from Youth Ed for 10% reduction,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6116 Childrens Library,,-$150,,3/2023: Oksana: Changes from Youth Ed for 10% reduction,Not a position,,Large church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6120 Family Programming,,"-$1,500","-$1,300",3/2023: Oksana: Changes from Youth Ed for 10% reduction,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Tercentenary Fund,6121 Camp Fowler scholarships (new),,"-$3,000","-$3,000",,Not a position,,Large church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6124 Junior and Senior Youth,,"-$1,500","-$1,400",3/2023: Oksana: Changes from Youth Ed for 10% reduction,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6126 Misc. Education Expense,,-$200,-$200,,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6130 Recognition/Development,,-$300,-$300,,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6135 Senior High Mission Trip,,"-$3,500","-$3,500",,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6145 Special Youth Service,,-$150,-$150,,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,"6150 Food, Church School",,-$200,-$200,,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,"6155 Supplies, Church School",,-$300,-$300,,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6160 Supplies Kinderwyk,,-$200,-$200,,Not a position,,Small Church,Recurring,21,
Expense,Youth Ed,Youth Ed,Youth Ed,Undesignated,6165 Vacation Bible School,,"-$1,000",-$800,3/2023: Oksana: Changes from Youth Ed for 10% reduction,Not a position,,Small Church,Recurring,21,
