Date,Account,Amount,AccountNum
2022-03-29,5033 Wages Maintenance,-3760.99,5033
2022-03-29,5073 Wages Youth,-697.49,5073
2022-03-29,6075 Vespers,-900.0,6075
2022-03-29,9007 Audio Visual Contract Services,-2100.0,9007
2022-03-29,8025 NYS Unemployment Insurance,-181.99,8025
2022-03-29,6374 FICA Mission Cordinator,-88.9,6374
2022-03-29,5002 FICA Administration,-205.65,5002
2022-03-29,9122 FICA Communication Specialist,-127.45,9122
2022-03-29,5042 FICA Music,-128.74,5042
2022-03-29,5032 FICA Maintenance,-285.55,5032
2022-03-29,5072 FICA Youth,-53.35,5072
2022-03-29,5051 Continuing Ed Assoc. Pastor,-300.0,5051
2022-03-30,4052 Make Room One Time Pledge,25.0,4052
2022-03-30,4052 Make Room One Time Pledge,25.0,4052
2022-03-30,4011 Prior Year Pledges,200.0,4011
2022-03-30,4021 Charitable Distributions,5000.0,4021
2022-03-30,6016 Organ Expense,-232.5,6016
2022-03-30,9040 Postage,-8.62,9040
2022-03-30,7051 Solar Energy 10 N Church,-17.0,7051
2022-03-30,7053 Solar 8 N Church,-0.47,7053
2022-03-30,7052 Solar 12 N Church,-244.4,7052
2022-03-30,7054 Solar Parking Lot,-11.94,7054
2022-03-30,4022 Wednesday Lunch Offering,388.0,4022
2022-03-31,8035 Payroll Processing,-184.87,8035
2022-03-31,8025 NYS Unemployment Insurance,184.87,8025
2022-03-31,4053 Misc Income,0.28,4053
2022-03-31,4053 Misc Income,0.31,4053
2022-03-31,4011 Prior Year Pledges,-200.0,4011
2022-03-31,4052 Facility Use Income,200.0,4052
2022-03-31,4052 Make Room One Time Pledge,-25.0,4052
2022-03-31,4052 Facility Use Income,25.0,4052
2022-03-31,4052 Make Room One Time Pledge,-25.0,4052
2022-03-31,4052 Facility Use Income,25.0,4052
2022-03-31,4010 Current Year Pledges,-5000.0,4010
2022-03-31,4026 Audio Sound Project,5000.0,4026
2022-03-31,4010 Current Year Pledges,-200.0,4010
2022-03-31,4026 Audio Sound Project,200.0,4026
2022-03-31,4010 Current Year Pledges,-4000.0,4010
2022-03-31,4026 Audio Sound Project,4000.0,4026
2022-03-31,4044 Endowment First Futures Fund,-5471.75,4044
2022-03-31,4044 Birch Income,5471.75,4044
2022-03-31,5055 Retirement APA,-848.82,5055
2022-03-31,5035 Retirement Maintenance,-205.74,5035
2022-03-31,5004 Retirement Administration,-166.64,5004
2022-03-31,9123 Retirement Communication Specialist,-132.0,9123
2022-03-31,5035 Retirement Maintenance,-47.58,5035
2022-03-31,9061 Contract Services,-119.0,9061
2022-03-31,6025 Misc Music Expense,-43.65,6025
2022-03-31,9061 Contract Services,-194.4,9061
2022-03-31,9025 Office Supplies,-79.97,9025
2022-03-31,9115 Paper,-47.98,9115
2022-03-31,9030 Other Admin Expense,-15.98,9030
2022-03-31,9061 Contract Services,-16.19,9061
2022-03-31,6405 Books (Library),-65.0,6405
2022-03-31,9061 Contract Services,-29.98,9061
2022-03-31,6405 Books (Library),-29.95,6405
2022-03-31,6310 Local Concerns,-28.3,6310
2022-03-31,9112 Website,-729.0,9112
2022-03-31,9005 Internet/comp. repair,-36.54,9005
2022-04-04,4055 Flower Income,30.0,4055
2022-04-04,4055 Flower Income,40.0,4055
2022-04-04,4055 Flower Income,30.0,4055
2022-04-04,4055 Flower Income,30.0,4055
2022-04-04,4055 Flower Income,30.0,4055
2022-04-04,4055 Flower Income,30.0,4055
2022-04-04,4052 Facility Use Income,125.0,4052
2022-04-04,4052 Facility Use Income,500.0,4052
2022-04-04,4055 Flower Income,45.0,4055
2022-04-04,4054 Rental Income,1150.0,4054
2022-04-04,4010 Current Year Pledges,3865.0,4010
2022-04-04,4031 Special Offerings,25.0,4031
2022-04-04,4012 Non Pledge Contributions,116.0,4012
2022-04-04,4013 Vespers Offering,103.0,4013
2022-04-04,4010 Current Year Pledges,60.0,4010
2022-04-04,4012 Non Pledge Contributions,500.0,4012
2022-04-04,4013 Vespers Offering,20.0,4013
2022-04-05,6075 Vespers,-200.0,6075
2022-04-05,6075 Vespers,200.0,6075
2022-04-05,6075 Vespers,200.0,6075
2022-04-06,8022 Finance Charge Online Giving,-33.21,8022
2022-04-06,9007 Audio Visual Contract Services,-300.0,9007
2022-04-06,7075 Regular Services,-57.0,7075
2022-04-06,6020 Instrument Maintenance,-250.0,6020
2022-04-06,4053 Misc Income,3.2,4053
2022-04-08,4053 Misc Income,0.21,4053
2022-04-08,9040 Postage,-80.0,9040
2022-04-08,5015 Retirement Sr. Pastor,-945.0,5015
2022-04-08,5019 Disability Life,-101.25,5019
2022-04-08,8015 Insurance,-125.52,8015
2022-04-08,6076 Flowers Expenses,-40.0,6076
2022-04-08,6310 Local Concerns,-34.79,6310
2022-04-08,7025 Electricity Parking Lot,-65.32,7025
2022-04-08,9015 Copier-Cannon/Rent & Maintenance,-13.99,9015
2022-04-08,7080 Repairs/Maint 10N Church,-4519.53,7080
2022-04-08,8035 Payroll Processing,-134.12,8035
2022-04-11,4052 Facility Use Income,25.0,4052
2022-04-11,4055 Flower Income,40.0,4055
2022-04-11,4055 Flower Income,30.0,4055
2022-04-11,4055 Flower Income,60.0,4055
2022-04-11,4055 Flower Income,30.0,4055
2022-04-11,4055 Flower Income,30.0,4055
2022-04-11,4055 Flower Income,30.0,4055
2022-04-11,4055 Flower Income,30.0,4055
2022-04-11,4055 Flower Income,30.0,4055
2022-04-11,9040 Postage,300.0,9040
2022-04-11,5011 Continuing Ed Sr. Pastor,-35.0,5011
2022-04-11,6366 Covenant fund lunch program,-12.48,6366
2022-04-11,4001 Classis Assessments,542.04,4001
2022-04-11,4010 Current Year Pledges,4600.0,4010
2022-04-11,4031 Special Offerings,202.0,4031
2022-04-11,4012 Non Pledge Contributions,5.0,4012
2022-04-11,4012 Non Pledge Contributions,250.0,4012
2022-04-11,4017 Special Offering,310.0,4017
2022-04-11,4013 Vespers Offering,178.0,4013
2022-04-11,4022 Wednesday Lunch Offering,293.34,4022
2022-04-11,4010 Current Year Pledges,2149.13,4010
2022-04-11,4031 Special Offerings,325.0,4031
2022-04-11,4023 Online Giving Fee,10.33,4023
2022-04-11,4012 Non Pledge Contributions,30.0,4012
2022-04-11,4013 Vespers Offering,10.0,4013
2022-04-11,9040 Postage,-300.0,9040
2022-04-11,9040 Postage,-300.0,9040
2022-04-12,4052 Make Room One Time Pledge,-1000.0,4052
2022-04-12,4052 Facility Use Income,25.0,4052
2022-04-13,7105 Supplies/Food (Maint.),-116.91,7105
2022-04-13,9020 Equipment,-29.99,9020
2022-04-13,7095 Security,-29.99,7095
2022-04-13,7105 Supplies/Food (Maint.),-113.62,7105
2022-04-13,7110 Supplies/Materials (Maint.),-28.99,7110
2022-04-13,7120 Operation/Maintenance,-8.63,7120
2022-04-13,7110 Supplies/Materials (Maint.),-114.74,7110
2022-04-13,7035 Equipment (Maint.),-22.63,7035
2022-04-13,7095 Security,-144.95,7095
2022-04-13,4053 Misc Income,13.0,4053
2022-04-13,5013 Wages Sr. Pastor,-2213.08,5013
2022-04-13,5018 Housing Sr. Pastor,-1361.03,5018
2022-04-13,5016 Social Security Offset Sr. Pastor,-221.59,5016
2022-04-13,5053 Wages APA,-2073.43,5053
2022-04-13,5058 Housing Expense APA,-1352.56,5058
2022-04-13,5056 Social Security Offset APA,-209.81,5056
2022-04-13,6373 Wages Mission Coordinator,-1162.16,6373
2022-04-13,5003 Wages Administration,-2917.15,5003
2022-04-13,5043 Wages Music,-1682.78,5043
2022-04-13,9121 Wages Communication Specialist,-1666.0,9121
2022-04-13,5033 Wages Maintenance,-3760.99,5033
2022-04-13,5073 Wages Youth,-697.49,5073
2022-04-13,9007 Audio Visual Contract Services,-400.0,9007
2022-04-13,8025 NYS Unemployment Insurance,-151.89,8025
2022-04-13,6050 Musicians,-750.0,6050
2022-04-13,6374 FICA Mission Cordinator,-88.9,6374
2022-04-13,5002 FICA Administration,-217.28,5002
2022-04-13,9122 FICA Communication Specialist,-127.45,9122
2022-04-13,5042 FICA Music,-128.74,5042
2022-04-13,5032 FICA Maintenance,-285.55,5032
2022-04-13,5072 FICA Youth,-53.35,5072
2022-04-15,6016 Organ Expense,-310.0,6016
2022-04-15,9111 Advertising,-69.0,9111
2022-04-15,8015 Insurance,-4085.66,8015
2022-04-15,8015 Insurance,-174.49,8015
2022-04-15,8015 Insurance,-225.49,8015
2022-04-15,8015 Insurance,-54.0,8015
2022-04-15,8035 Payroll Processing,-121.82,8035
2022-04-15,4010 Current Year Pledges,2880.0,4010
2022-04-15,4031 Special Offerings,3650.0,4031
2022-04-15,4012 Non Pledge Contributions,200.0,4012
2022-04-15,4013 Vespers Offering,50.0,4013
2022-04-15,4022 Wednesday Lunch Offering,157.0,4022
2022-04-15,8015 Insurance,174.49,8015
2022-04-15,8015 Insurance,54.0,8015
2022-04-15,8015 Insurance,225.49,8015
2022-04-18,5057 Business & Auto Expense APA,-20.0,5057
2022-04-18,5057 Business & Auto Expense APA,-17.92,5057
2022-04-18,5057 Business & Auto Expense APA,-0.8,5057
2022-04-18,5057 Business & Auto Expense APA,-8.0,5057
2022-04-18,6515 Resources Grief Booklets,-193.95,6515
2022-04-18,5057 Business & Auto Expense APA,-5.18,5057
2022-04-18,6450 Small Groups,-14.99,6450
2022-04-18,6065 Special Worship,-83.08,6065
2022-04-18,5057 Business & Auto Expense APA,-43.0,5057
2022-04-18,6366 Covenant fund lunch program,0.01,6366
2022-04-18,5014 Medical Sr. Pastor,-58.55,5014
2022-04-18,5005 Medical Administration,-29.27,5005
2022-04-18,5054 Medical  APA,-58.55,5054
2022-04-18,7075 Regular Services,-336.18,7075
2022-04-18,5034 Medical Maintenance,-563.56,5034
2022-04-18,5005 Medical Administration,-886.19,5005
2022-04-18,9015 Copier-Cannon/Rent & Maintenance,-643.0,9015
2022-04-18,9015 Copier-Cannon/Rent & Maintenance,-53.96,9015
2022-04-18,4001 Classis Assessments,108.0,4001
2022-04-18,4010 Current Year Pledges,5235.0,4010
2022-04-18,4031 Special Offerings,6994.0,4031
2022-04-18,4012 Non Pledge Contributions,120.0,4012
2022-04-18,4013 Vespers Offering,120.1,4013
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,75.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,4055 Flower Income,30.0,4055
2022-04-19,5054 Medical  APA,-1837.1,5054
2022-04-19,6605 Churchwide Social Events,-163.0,6605
2022-04-19,6610 Coffee Hour,-37.48,6610
2022-04-19,6430 Lenten Programming,-500.0,6430
2022-04-19,5020 Pastoral Search Expense,-100.0,5020
2022-04-19,5020 Pastoral Search Expense,-100.0,5020
2022-04-20,4052 Facility Use Income,25.0,4052
2022-04-20,4055 Flower Income,60.0,4055
2022-04-20,4017 Special Offering,25.0,4017
2022-04-20,6005 Communion,-7.48,6005
2022-04-20,6076 Flowers Expenses,-262.26,6076
2022-04-25,6410 Devotional Literature,-19.08,6410
2022-04-25,4052 Facility Use Income,25.0,4052
2022-04-25,9060 Telephone & Internet,-167.56,9060
2022-04-25,9005 Internet/comp. repair,-167.55,9005
2022-04-25,4001 Classis Assessments,110.0,4001
2022-04-25,4010 Current Year Pledges,3604.0,4010
2022-04-25,4031 Special Offerings,450.0,4031
2022-04-25,4012 Non Pledge Contributions,135.0,4012
2022-04-25,4013 Vespers Offering,53.0,4013
2022-04-25,4022 Wednesday Lunch Offering,238.18,4022
2022-04-25,6366 Covenant fund lunch program,-116.28,6366
2022-04-25,6366 Covenant fund lunch program,-185.58,6366
2022-04-25,6366 Covenant fund lunch program,-150.67,6366
2022-04-25,6366 Covenant fund lunch program,-73.09,6366
2022-04-25,6366 Covenant fund lunch program,-99.0,6366
2022-04-25,6366 Covenant fund lunch program,-49.57,6366
2022-04-25,6366 Covenant fund lunch program,-64.24,6366
2022-04-25,6366 Covenant fund lunch program,-144.68,6366
2022-04-25,6366 Covenant fund lunch program,-40.0,6366
2022-04-25,6620 Supplies Hospitality,-53.99,6620
2022-04-25,9111 Advertising,-130.96,9111
2022-04-27,4055 Flower Income,-30.0,4055
2022-04-27,8020 Misc Finance,-15.0,8020
2022-04-27,9040 Postage,-500.0,9040
2022-04-27,7090 Repairs/Maint 8N Church,-415.0,7090
2022-04-27,7090 Repairs/Maint 8N Church,-1284.68,7090
2022-04-27,4053 Misc Income,13.64,4053
2022-04-27,5013 Wages Sr. Pastor,-2213.08,5013
2022-04-27,5018 Housing Sr. Pastor,-1361.03,5018
2022-04-27,5016 Social Security Offset Sr. Pastor,-221.59,5016
2022-04-27,5053 Wages APA,-2073.43,5053
2022-04-27,5058 Housing Expense APA,-1352.56,5058
2022-04-27,5056 Social Security Offset APA,-209.81,5056
2022-04-27,6373 Wages Mission Coordinator,-1162.16,6373
2022-04-27,5003 Wages Administration,-2816.56,5003
2022-04-27,5043 Wages Music,-1682.78,5043
2022-04-27,9121 Wages Communication Specialist,-1666.0,9121
2022-04-27,5033 Wages Maintenance,-3760.99,5033
2022-04-27,5073 Wages Youth,-697.49,5073
2022-04-27,8025 NYS Unemployment Insurance,-121.88,8025
2022-04-27,6050 Musicians,-150.0,6050
2022-04-27,6374 FICA Mission Cordinator,-88.9,6374
2022-04-27,5002 FICA Administration,-209.57,5002
2022-04-27,9122 FICA Communication Specialist,-127.45,9122
2022-04-27,5042 FICA Music,-128.74,5042
2022-04-27,5032 FICA Maintenance,-285.55,5032
2022-04-27,5072 FICA Youth,-53.35,5072
2022-04-27,8035 Payroll Processing,-252.0,8035
2022-04-27,7051 Solar Energy 10 N Church,-19.58,7051
2022-04-27,7053 Solar 8 N Church,-0.52,7053
2022-04-27,7052 Solar 12 N Church,-281.39,7052
2022-04-27,7054 Solar Parking Lot,-13.76,7054
2022-04-29,7080 Repairs/Maint 10N Church,-690.0,7080
2022-04-29,5014 Medical Sr. Pastor,-1548.74,5014
2022-04-29,8035 Payroll Processing,-111.98,8035
2022-04-29,8022 Finance Charge Online Giving,-26.64,8022
2022-04-29,4010 Current Year Pledges,315.0,4010
2022-04-29,4031 Special Offerings,100.0,4031
2022-04-29,4022 Wednesday Lunch Offering,144.5,4022
2022-04-29,4053 Misc Income,2.66,4053
2022-04-29,4053 Misc Income,0.16,4053
2022-05-02,8022 Finance Charge Online Giving,-54.21,8022
2022-05-02,9015 Copier-Cannon/Rent & Maintenance,-10.0,9015
2022-05-02,4052 Facility Use Income,25.0,4052
2022-05-02,4010 Current Year Pledges,1737.0,4010
2022-05-02,4012 Non Pledge Contributions,5.0,4012
2022-05-02,4012 Non Pledge Contributions,44.0,4012
2022-05-02,4013 Vespers Offering,51.0,4013
2022-05-02,4054 Rental Income,1150.0,4054
2022-05-04,9111 Advertising,-250.0,9111
2022-05-06,4000 Classis Assessment,-30.0,4000
2022-05-06,4055 Flower Income,30.0,4055
2022-05-06,4010 Current Year Pledges,1240.0,4010
2022-05-06,4013 Vespers Offering,138.84,4013
2022-05-06,4022 Wednesday Lunch Offering,188.0,4022
2022-05-06,4000 Classis Assessment,30.0,4000
2022-05-06,8020 Misc Finance,15.0,8020
2022-05-09,5059 Disability Life Associate Pastor,-773.52,5059
2022-05-09,8020 Misc Finance,-165.0,8020
2022-05-09,5015 Retirement Sr. Pastor,-1180.5,5015
2022-05-09,5019 Disability Life,-126.5,5019
2022-05-09,6319 Minister Discretionary Sr. Minister,-149.9,6319
2022-05-09,4001 Classis Assessments,108.0,4001
2022-05-09,4010 Current Year Pledges,3686.0,4010
2022-05-09,4012 Non Pledge Contributions,124.0,4012
2022-05-09,4017 Special Offering,50.0,4017
2022-05-09,4013 Vespers Offering,142.0,4013
2022-05-11,6025 Misc Music Expense,-52.75,6025
2022-05-11,6076 Flowers Expenses,-424.0,6076
2022-05-11,5055 Retirement APA,-813.0,5055
2022-05-11,5035 Retirement Maintenance,-203.44,5035
2022-05-11,5004 Retirement Administration,-166.64,5004
2022-05-11,9123 Retirement Communication Specialist,-132.0,9123
2022-05-11,5035 Retirement Maintenance,-95.16,5035
2022-05-11,4053 Misc Income,14.3,4053
2022-05-11,5013 Wages Sr. Pastor,-2213.08,5013
2022-05-11,5018 Housing Sr. Pastor,-1361.03,5018
2022-05-11,5016 Social Security Offset Sr. Pastor,-221.59,5016
2022-05-11,5053 Wages APA,-2073.43,5053
2022-05-11,5058 Housing Expense APA,-1352.56,5058
2022-05-11,5056 Social Security Offset APA,-209.81,5056
2022-05-11,6373 Wages Mission Coordinator,-281.49,6373
2022-05-11,5003 Wages Administration,-2619.52,5003
2022-05-11,5043 Wages Music,-2383.34,5043
2022-05-11,9121 Wages Communication Specialist,-1666.0,9121
2022-05-11,5033 Wages Maintenance,-3760.99,5033
2022-05-11,5073 Wages Youth,-697.49,5073
2022-05-11,6075 Vespers,-400.0,6075
2022-05-11,9007 Audio Visual Contract Services,-1000.0,9007
2022-05-11,8025 NYS Unemployment Insurance,-106.86,8025
2022-05-11,6050 Musicians,-300.0,6050
2022-05-11,6374 FICA Mission Cordinator,-21.53,6374
2022-05-11,5002 FICA Administration,-194.5,5002
2022-05-11,9122 FICA Communication Specialist,-127.45,9122
2022-05-11,5042 FICA Music,-182.33,5042
2022-05-11,5032 FICA Maintenance,-285.55,5032
2022-05-11,5072 FICA Youth,-53.35,5072
2022-05-11,4010 Current Year Pledges,2476.31,4010
2022-05-11,4023 Online Giving Fee,7.16,4023
2022-05-11,4017 Special Offering,100.0,4017
2022-05-13,9007 Audio Visual Contract Services,-300.0,9007
2022-05-13,9007 Audio Visual Contract Services,-300.0,9007
2022-05-13,8125 Supplies Archives,-100.0,8125
2022-05-13,8125 Supplies Archives,-100.0,8125
2022-05-13,6315 National Oversseas,-1000.0,6315
2022-05-13,6324 Camp Fowler support(M&B),-6500.0,6324
2022-05-13,6315 National Oversseas,-2500.0,6315
2022-05-13,6310 Local Concerns,-1000.0,6310
2022-05-13,6310 Local Concerns,-2000.0,6310
2022-05-13,9115 Paper,-32.99,9115
2022-05-13,9025 Office Supplies,-77.97,9025
2022-05-13,9115 Paper,-67.99,9115
2022-05-13,9061 Contract Services,-29.98,9061
2022-05-13,6405 Books (Library),-25.99,6405
2022-05-13,9025 Office Supplies,-21.44,9025
2022-05-13,9061 Contract Services,-16.19,9061
2022-05-13,6405 Books (Library),65.0,6405
2022-05-13,7100 Supplies/Cleaning,-34.06,7100
2022-05-13,7095 Security,-128.57,7095
2022-05-13,9025 Office Supplies,-25.98,9025
2022-05-13,7095 Security,-89.98,7095
2022-05-13,6366 Covenant fund lunch program,-43.9,6366
2022-05-13,6366 Covenant fund lunch program,-113.96,6366
2022-05-13,6366 Covenant fund lunch program,-184.3,6366
2022-05-13,6366 Covenant fund lunch program,-40.27,6366
2022-05-13,6366 Covenant fund lunch program,-182.56,6366
2022-05-13,6366 Covenant fund lunch program,-165.5,6366
2022-05-13,8010 Classis Assessments,-9963.92,8010
2022-05-13,8035 Payroll Processing,-129.2,8035
2022-05-13,4001 Classis Assessments,216.02,4001
2022-05-13,4010 Current Year Pledges,140.0,4010
2022-05-13,4017 Special Offering,10.0,4017
2022-05-13,4022 Wednesday Lunch Offering,122.65,4022
2022-05-13,4052 Facility Use Income,375.0,4052
2022-05-16,5054 Medical  APA,-1837.1,5054
2022-05-16,5051 Continuing Ed Assoc. Pastor,-45.9,5051
2022-05-16,6065 Special Worship,-0.8,6065
2022-05-16,5057 Business & Auto Expense APA,-10.53,5057
2022-05-16,6450 Small Groups,-14.99,6450
2022-05-16,5057 Business & Auto Expense APA,-5.18,5057
2022-05-16,6076 Flowers Expenses,-32.4,6076
2022-05-16,6076 Flowers Expenses,-16.2,6076
2022-05-16,5057 Business & Auto Expense APA,-43.45,5057
2022-05-16,6322 Minister Discretionary (Carlson),-4.2,6322
2022-05-16,5057 Business & Auto Expense APA,-35.59,5057
2022-05-16,5057 Business & Auto Expense APA,-8.0,5057
2022-05-16,4001 Classis Assessments,324.03,4001
2022-05-16,4010 Current Year Pledges,2375.49,4010
2022-05-16,4012 Non Pledge Contributions,114.0,4012
2022-05-16,4013 Vespers Offering,93.0,4013
2022-05-18,5014 Medical Sr. Pastor,-64.53,5014
2022-05-18,5005 Medical Administration,-32.26,5005
2022-05-18,5054 Medical  APA,-64.53,5054
2022-05-18,6610 Coffee Hour,-57.55,6610
2022-05-18,7075 Regular Services,-335.61,7075
2022-05-18,5054 Medical  APA,-203.59,5054
2022-05-18,9015 Copier-Cannon/Rent & Maintenance,-643.0,9015
2022-05-18,9015 Copier-Cannon/Rent & Maintenance,-53.96,9015
2022-05-20,7100 Supplies/Cleaning,-821.35,7100
2022-05-20,9060 Telephone & Internet,-332.83,9060
2022-05-20,4022 Wednesday Lunch Offering,124.5,4022
2022-05-20,8015 Insurance,-2321.47,8015
2022-05-20,9060 Telephone & Internet,166.41,9060
2022-05-20,9005 Internet/comp. repair,-166.41,9005
2022-05-22,4001 Classis Assessments,100.0,4001
2022-05-22,4010 Current Year Pledges,3105.0,4010
2022-05-22,4012 Non Pledge Contributions,76.0,4012
2022-05-22,4031 Special Offerings,70.0,4031
2022-05-23,8022 Finance Charge Online Giving,-39.1,8022
2022-05-23,4052 Facility Use Income,1000.0,4052
2022-05-23,4052 Facility Use Income,263.0,4052
2022-05-25,5034 Medical Maintenance,-563.56,5034
2022-05-25,5005 Medical Administration,-886.19,5005
2022-05-25,4052 Facility Use Income,1000.0,4052
2022-05-25,4022 Wednesday Lunch Offering,266.85,4022
2022-05-27,4053 Misc Income,13.0,4053
2022-05-27,5013 Wages Sr. Pastor,-2213.08,5013
2022-05-27,5018 Housing Sr. Pastor,-1361.03,5018
2022-05-27,5016 Social Security Offset Sr. Pastor,-221.59,5016
2022-05-27,5053 Wages APA,-2073.43,5053
2022-05-27,5058 Housing Expense APA,-1352.56,5058
2022-05-27,5056 Social Security Offset APA,-209.81,5056
2022-05-27,6373 Wages Mission Coordinator,-431.1,6373
2022-05-27,5003 Wages Administration,-2631.07,5003
2022-05-27,5043 Wages Music,-1682.78,5043
2022-05-27,9121 Wages Communication Specialist,-1666.0,9121
2022-05-27,5033 Wages Maintenance,-3760.99,5033
2022-05-27,5073 Wages Youth,-697.49,5073
2022-05-27,6075 Vespers,-200.0,6075
2022-05-27,9007 Audio Visual Contract Services,-600.0,9007
2022-05-27,8025 NYS Unemployment Insurance,-95.53,8025
2022-05-27,6050 Musicians,-75.0,6050
2022-05-27,6374 FICA Mission Cordinator,-32.98,6374
2022-05-27,5002 FICA Administration,-195.39,5002
2022-05-27,9122 FICA Communication Specialist,-127.45,9122
2022-05-27,5042 FICA Music,-128.74,5042
2022-05-27,5032 FICA Maintenance,-285.55,5032
2022-05-27,5072 FICA Youth,-53.35,5072
2022-05-27,7010 Electricity 10N Church,-37.52,7010
2022-05-27,7015 Electricity 12N Church,-424.93,7015
2022-05-27,7045 Fuel 12N Church,-219.48,7045
2022-05-27,7020 Electricity 8N Church,-652.34,7020
2022-05-27,7050 Fuel 8N Church,-389.95,7050
2022-05-27,7040 Fuel 10N Church,-125.24,7040
2022-05-27,5014 Medical Sr. Pastor,-1548.74,5014
2022-05-27,8020 Misc Finance,5.0,8020
2022-05-31,4041 Endowment Income,50000.0,4041
2022-05-31,8022 Finance Charge Online Giving,-18.72,8022
2022-05-31,4053 Misc Income,1.68,4053
2022-05-31,4010 Current Year Pledges,5192.0,4010
2022-05-31,4010 Current Year Pledges,2082.67,4010
2022-05-31,4052 Facility Use Income,25.0,4052
2022-05-31,4012 Non Pledge Contributions,214.01,4012
2022-05-31,4013 Vespers Offering,54.0,4013
2022-05-31,8035 Payroll Processing,-111.98,8035
2022-05-31,4053 Misc Income,0.19,4053
2022-05-31,4053 Misc Income,0.19,4053
2022-06-01,4054 Rental Income,1150.0,4054
2022-06-03,6405 Books (Library),-37.45,6405
2022-06-03,6120 Family Programming,-67.14,6120
2022-06-03,6120 Family Programming,-111.84,6120
2022-06-03,6120 Family Programming,-43.99,6120
2022-06-03,6120 Family Programming,-17.98,6120
2022-06-03,6120 Family Programming,-18.99,6120
2022-06-03,5057 Business & Auto Expense APA,-75.0,5057
2022-06-03,4032 Designated Restricted Contributions,100.0,4032
2022-06-03,4032 Designated Restricted Contributions,50.0,4032
2022-06-03,8035 Payroll Processing,-116.9,8035
2022-06-03,4010 Current Year Pledges,160.0,4010
2022-06-03,4022 Wednesday Lunch Offering,189.0,4022
2022-06-06,4032 Designated Restricted Contributions,200.0,4032
2022-06-06,7025 Electricity Parking Lot,-75.16,7025
2022-06-06,9111 Advertising,-499.0,9111
2022-06-06,7055 Grounds Upkeep,-625.0,7055
2022-06-06,6310 Local Concerns,-2000.0,6310
2022-06-06,6310 Local Concerns,-2000.0,6310
2022-06-06,6310 Local Concerns,-1500.0,6310
2022-06-06,4010 Current Year Pledges,3628.33,4010
2022-06-06,4012 Non Pledge Contributions,321.23,4012
2022-06-06,4013 Vespers Offering,20.0,4013
2022-06-08,7010 Electricity 10N Church,-23.24,7010
2022-06-08,7040 Fuel 10N Church,-235.76,7040
2022-06-08,7015 Electricity 12N Church,-450.1,7015
2022-06-08,7020 Electricity 8N Church,-870.01,7020
2022-06-08,7025 Electricity Parking Lot,-22.65,7025
2022-06-08,7045 Fuel 12N Church,-564.56,7045
2022-06-08,7050 Fuel 8N Church,-1341.9,7050
2022-06-08,6076 Flowers Expenses,-200.0,6076
2022-06-08,4022 Wednesday Lunch Offering,131.0,4022
2022-06-08,4010 Current Year Pledges,660.0,4010
2022-06-08,4052 Facility Use Income,100.0,4052
2022-06-08,4013 Vespers Offering,20.0,4013
2022-06-08,4021 Charitable Distributions,2000.0,4021
2022-06-10,4053 Misc Income,13.0,4053
2022-06-10,5013 Wages Sr. Pastor,-2213.08,5013
2022-06-10,5018 Housing Sr. Pastor,-1361.03,5018
2022-06-10,5016 Social Security Offset Sr. Pastor,-221.59,5016
2022-06-10,5053 Wages APA,-2073.43,5053
2022-06-10,5058 Housing Expense APA,-1352.56,5058
2022-06-10,5056 Social Security Offset APA,-209.81,5056
2022-06-10,6373 Wages Mission Coordinator,-464.8,6373
2022-06-10,5003 Wages Administration,-2711.59,5003
2022-06-10,5043 Wages Music,-1682.78,5043
2022-06-10,9121 Wages Communication Specialist,-1666.0,9121
2022-06-10,5033 Wages Maintenance,-3760.99,5033
2022-06-10,5073 Wages Youth,-697.49,5073
2022-06-10,6075 Vespers,-300.0,6075
2022-06-10,9007 Audio Visual Contract Services,-1118.75,9007
2022-06-10,8025 NYS Unemployment Insurance,-97.93,8025
2022-06-10,4052 Facility Use Income,-350.0,4052
2022-06-10,6050 Musicians,-200.0,6050
2022-06-10,6374 FICA Mission Cordinator,-35.56,6374
2022-06-10,5002 FICA Administration,-201.54,5002
2022-06-10,9122 FICA Communication Specialist,-127.45,9122
2022-06-10,5042 FICA Music,-128.74,5042
2022-06-10,5032 FICA Maintenance,-285.55,5032
2022-06-10,5072 FICA Youth,-53.35,5072
2022-06-10,6610 Coffee Hour,-60.93,6610
2022-06-10,9045 Printing,-33.99,9045
2022-06-10,6435 Periodicals & Fees (Library),-59.95,6435
2022-06-10,6435 Periodicals & Fees (Library),-0.54,6435
2022-06-10,9061 Contract Services,-29.98,9061
2022-06-10,9025 Office Supplies,-89.99,9025
2022-06-10,9030 Other Admin Expense,-18.29,9030
2022-06-10,6605 Churchwide Social Events,-185.19,6605
